Threshold,Features,RMSE,R2
1e-05,4,424344.59678577847,-0.20927704615803666
1e-06,28,349287.08717601164,0.004618274297046754
1e-07,75,349287.08760144905,0.004618273084655455
1e-08,153,349286.77020720864,0.004619177579663569
1e-09,240,349300.2626102105,0.004580727571412591
